Primacy_Agency,PWSID,PWS_Name,Sys_Size,Pb_Pipe,Pb_Connector,Galv_Pb,Galv_noPb,Unknown,no_reports,Total,county_fips,states_fips,FIPS,Total_Pb,pct_Pb
FL,FL2010946,GRU - MURPHREE WTP,Large,16953,415,1245,1312,8505,0,73013,010,12,12010,18613,0.254927205
FL,FL1030050,BAY COUNTY WATER SYSTEM,Large,540,135,405,2114,1970,0,8547,030,12,12030,1080,0.126360126
FL,FL1030515,PANAMA CITY BEACH CITY OF,Medium,0,0,0,0,0,29171,29171,030,12,12030,0,0
FL,FL2040372,FLORIDA STATE PRISON,Medium,12,3,9,64,65,0,255,040,12,12040,24,0.094117647
FL,FL3050223,"COCOA, CITY OF",Large,36598,860,2580,274,13431,0,97805,050,12,12050,40038,0.409365574
FL,FL3050442,"PALM BAY, CITY OF",Large,0,0,0,0,304,0,38745,050,12,12050,0,0
FL,FL3051447,"MELBOURNE, CITY OF",Large,2864,716,2148,14952,15204,0,59807,051,12,12051,5728,0.095774742
FL,FL4060163,BCWWS 2A,Large,624,156,498,4581,6888,0,20076,060,12,12060,1278,0.063658099
FL,FL4060282,COOPER CITY,Medium,409,102,328,3001,3517,0,12159,060,12,12060,839,0.069002385
FL,FL4060486,"FORT LAUDERDALE, CITY OF",Large,23278,555,1665,2400,7462,0,68924,060,12,12060,25498,0.369943706
FL,FL4060615,"HILLSBORO BEACH, TOWN OF",Small,0,0,0,16,9,0,239,060,12,12060,0,0
FL,FL4060642,"HOLLYWOOD, CITY OF",Large,11005,278,834,21693,2838,0,64021,060,12,12060,12117,0.189266022
FL,FL4060845,CITY OF MARGATE,Medium,4989,133,399,762,0,0,16873,060,12,12060,5521,0.327209151
FL,FL4060925,MIRAMAR (EAST ; WEST) PLANTS,Large,0,0,0,0,0,34025,34025,060,12,12060,0,0
FL,FL4060976,"NORTH LAUDERDALE, CITY OF",Medium,282,70,225,2069,2318,0,8274,060,12,12060,577,0.069736524
FL,FL4061083,"PEMBROKE PINES, CITY OF",Large,6864,178,534,1168,964,0,49989,061,12,12061,7576,0.151553342
FL,FL4061121,"PLANTATION, EAST ; CENTRAL",Medium,0,0,0,3375,0,0,27375,061,12,12061,0,0
FL,FL4061408,SUNRISE SAWGRASS,Medium,1241,310,993,9104,10669,0,36883,061,12,12061,2544,0.068974866
FL,FL4061925,DAVIE (HACIENDA VILLAGE),Small,0,0,0,20,0,0,51,061,12,12061,0,0
