,Primacy_Agency,PWSID,PWS_Name,Sys_Size,Pb_Pipe,Pb_Connector,Galv_Pb,Galv_noPb,Unknown,no_reports,Total,county_fips,states_fips,FIPS,Total_Pb,pct_Pb
0,AK,AK2110342,CITY AND BOROUGH OF JUNEAU,Medium,0,0,0,0,9705,0,9705,110,2,2110,0,0
1,AK,AK2110601,SKAGWAY,Medium,0,0,0,0,0,375,375,110,2,2110,0,0
2,AK,AK2120232,KETCHIKAN PUBLIC UTILITIES,Medium,0,0,0,0,0,3242,3242,120,2,2120,0,0
3,AK,AK2130075,SITKA,Medium,0,0,0,0,0,3620,3620,130,2,2130,0,0
4,AK,AK2210320,FOUR SEASONS TC,Small,0,0,0,0,120,0,120,210,2,2210,0,0
5,AK,AK2210605,VALLI VUE S/D WATER SYSTEM,Small,0,0,0,0,0,0,227,210,2,2210,0,0
6,AK,AK2210906,MOA MUNICIPALITY OF ANCHORAGE,Large,0,0,0,113,0,0,113,210,2,2210,0,0
7,AK,AK2211229,United Alaskan Utilities Moorehand Division,Small,0,0,0,0,109,0,109,211,2,2211,0,0
8,AK,AK2212021,GIRDWOOD WATER SYSTEM,Small,0,0,0,0,671,0,671,212,2,2212,0,0
9,AK,AK2212039,DOYON UTILITIES JBER - RICHARDSON,Medium,0,0,0,0,0,723,723,212,2,2212,0,0
10,AK,AK2213239,BEAR MOUNTAIN CONDO ASSN.,Small,0,0,0,0,2,0,2,213,2,2213,0,0
11,AK,AK2213530,PETERS CREEK TERRACE APTS.,Small,0,0,0,0,1,0,1,213,2,2213,0,0
12,AK,AK2223420,AMERICAN LEGION POST 35,Small,0,0,0,0,1,0,1,223,2,2223,0,0
13,AK,AK2224646,WASILLA WATER SYSTEM,Medium,0,0,0,0,0,2079,2079,224,2,2224,0,0
14,AK,AK2226020,PALMER WATER SYSTEM,Medium,0,0,0,0,0,2273,2273,226,2,2226,0,0
15,AK,AK2240448,KENAI WATER SYSTEM,Medium,0,0,0,0,0,1868,1868,240,2,2240,0,0
16,AK,AK2240456,HOMER WATER SYSTEM,Medium,0,0,0,0,0,1500,1500,240,2,2240,0,0
17,AK,AK2241054,SOLDOTNA,Medium,0,0,0,0,0,1500,1500,241,2,2241,0,0
18,AK,AK2245846,SOLDOTNA SWIFT WATER #4,Small,0,0,0,0,0,0,4,245,2,2245,0,0
19,AK,AK2250011,KODIAK WATER SYSTEM,Medium,0,0,0,0,0,2532,2532,250,2,2250,0,0
20,AK,AK2298103,VALDEZ WATER SYSTEM - MAIN,Medium,100,0,0,200,200,0,1000,298,2,2298,100,0.1
21,AK,AK2310683,UNIVERSITY OF ALASKA - FAIRBANKS,Medium,0,0,0,63,0,0,82,310,2,2310,0,0
22,AK,AK2310730,GOLDEN HEART UTILITIES,Medium,0,0,0,0,1000,0,12900,310,2,2310,0,0
23,AK,AK2310900,COLLEGE UTILITIES CORPORATION,Medium,0,0,0,0,0,2505,2505,310,2,2310,0,0
24,AK,AK2310918,FT WAINWRIGHT - MAIN POST,Medium,0,0,0,11,271,0,914,310,2,2310,0,0
25,AL,AL0000001,AUTAUGA CO WATER AUTHORITY,Medium,0,0,0,0,0,0,2681,0,1,1000,0,0
26,AL,AL0000017,"Water Works Board, City of Prattville",Medium,0,0,0,0,0,0,15873,0,1,1000,0,0
27,AL,AL0000023,NORTH BALDWIN UTILITIES,Medium,0,0,0,0,1917,0,9000,0,1,1000,0,0
28,AL,AL0000028,"PARK CITY WATER AUTHORITY, INC",Small,0,0,0,0,0,425,425,0,1,1000,0,0
29,AL,AL0000035,FAIRHOPE WATER SYSTEM (CITY OF),Medium,0,0,0,0,2272,0,21602,0,1,1000,0,0
30,AL,AL0000036,FOLEY (UTILITIES BOARD OF THE CITY OF),Medium,0,0,0,0,2451,0,14914,0,1,1000,0,0
31,AL,AL0000065,SILVERHILL WATER SYSTEM (TOWN OF),Small,0,0,0,0,0,0,960,0,1,1000,0,0
32,AL,AL0000073,SUMMERDALE WATER WORKS,Small,0,0,0,0,279,0,579,0,1,1000,0,0
33,AL,AL0000103,ONEONTA UTILITIES BOARD,Medium,0,0,0,0,1135,0,6411,0,1,1000,0,0
34,AL,AL0000108,SNEAD WATER WORKS,Medium,0,0,0,0,0,0,1810,0,1,1000,0,0
35,AL,AL0000125,Greenhill Waterworks and Sewer Board,Medium,0,0,0,0,2189,0,3199,0,1,1000,0,0
36,AL,AL0000133,ANNISTON WATER & SEWER BOARD,Large,0,0,0,0,12682,0,21019,0,1,1000,0,0
37,AL,AL0000162,OXFORD WATER WORKS & SEWER BOARD,Medium,0,0,0,0,123,0,9667,0,1,1000,0,0
38,AL,AL0000164,PIEDMONT UTILITIES BOARD,Medium,0,0,0,0,2832,0,2832,0,1,1000,0,0
39,AL,AL0000168,City of Weaver Water System,Medium,0,0,0,0,972,0,2206,0,1,1000,0,0
40,AL,AL0000180,BEULAH UTILITIES DISTRICT,Medium,0,0,0,0,0,0,3329,0,1,1000,0,0
41,AL,AL0000237,GILBERTOWN (UTILITIES BOARD OF TOWN OF),Medium,0,0,0,0,0,0,2770,0,1,1000,0,0
42,AL,AL0000255,GROVE HILL WATER WORKS,Medium,0,0,0,0,0,0,1250,0,1,1000,0,0
43,AL,AL0000296,ENTERPRISE WATER WORKS,Medium,0,0,0,0,2509,0,15054,0,1,1000,0,0
44,AL,AL0000320,LITTLEVILLE WATERWORKS,Medium,0,0,0,0,0,0,1192,0,1,1000,0,0
45,AL,AL0000356,ANDALUSIA (UTILITIES BOARD OF),Medium,0,0,0,0,3736,0,5084,0,1,1000,0,0
46,AL,AL0000375,OPP UTILITIES BOARD,Medium,0,0,0,0,1656,0,3203,0,1,1000,0,0
47,AL,AL0000394,CULLMAN COUNTY WATER DEPARTMENT,Medium,0,0,0,0,0,0,17357,0,1,1000,0,0
48,AL,AL0000402,"EAST CULLMAN WATER SYSTEM, INC.",Medium,0,0,0,0,0,0,4204,0,1,1000,0,0
49,AL,AL0000441,Utilities Board of the City of Ozark,Medium,0,0,0,0,1638,0,6552,0,1,1000,0,0
50,AL,AL0000490,SELMA WATER WORKS & SEWER BOARD,Medium,0,0,0,0,6668,0,7763,0,1,1000,0,0
51,AL,AL0000506,Town of Collinsville Waterworks and Sewer Board,Medium,0,0,0,0,7,0,1382,0,1,1000,0,0
52,AL,AL0000509,FORT PAYNE WATER WORKS BOARD,Medium,0,0,0,0,775,0,8650,0,1,1000,0,0
53,AL,AL0000539,MILLBROOK UTILITIES,Medium,0,0,0,0,0,0,2155,0,1,1000,0,0
54,AL,AL0000553,WEST ESCAMBIA UTILITIES INC.,Medium,0,0,0,0,2424,0,4033,0,1,1000,0,0
55,AL,AL0000555,BREWTON WATER WORKS,Medium,0,0,0,0,813,0,4001,0,1,1000,0,0
56,AL,AL0000572,Water Works Board of the City ofAttalla,Medium,0,0,0,0,675,0,2805,0,1,1000,0,0
57,AL,AL0000575,FORDS VALLEY & HWY 278 WATER,Medium,0,0,0,0,47,0,1847,0,1,1000,0,0
58,AL,AL0000577,NA,Medium,0,0,0,0,12757,0,14879,0,1,1000,0,0
59,AL,AL0000582,West Etowah County Water Authority,Medium,0,0,0,0,0,0,2340,0,1,1000,0,0
60,AL,AL0000591,Southside Water Works and Sewer Board,Medium,0,0,0,0,1274,0,4035,0,1,1000,0,0
61,AL,AL0000594,FAYETTE CO. WATER COORD. & F. P. A.,Medium,0,0,0,0,0,0,1425,0,1,1000,0,0
62,AL,AL0000624,HARTFORD WATER WORKS,Medium,0,0,0,0,597,0,1377,0,1,1000,0,0
63,AL,AL0000663,HENRY COUNTY WATER AUTHORITY,Medium,0,0,0,0,0,0,3916,0,1,1000,0,0
64,AL,AL0000681,DOTHAN UTILITIES (CITY OF),Large,0,0,0,0,6294,0,42314,0,1,1000,0,0
65,AL,AL0000728,Section & Dutton Water Systems,Medium,0,0,0,0,1231,0,12750,0,1,1000,0,0
66,AL,AL0000737,BESSEMER WATER SERVICE,Large,0,0,0,0,13068,0,28496,0,1,1000,0,0
67,AL,AL0000738,BIRMINGHAM WATER WORKS BOARD,Large,0,0,0,0,93322,0,214441,0,1,1000,0,0
68,AL,AL0000748,GRAYSVILLE WATER & SEWER BOARD,Medium,0,0,0,0,1593,0,3048,0,1,1000,0,0
69,AL,AL0000755,Mulga Water Department,Medium,0,0,0,0,556,0,2069,0,1,1000,0,0
70,AL,AL0000763,WARRIOR RIVER WATER AUTHORITY,Medium,0,0,0,0,554,0,12172,0,1,1000,0,0
71,AL,AL0000773,VERNON WATER AND SEWER BOARD,Medium,0,0,0,0,14,0,3300,0,1,1000,0,0
72,AL,AL0000783,FLORENCE WATER-WASTEWATER DEPARTMENT,Large,0,0,0,0,9034,0,26604,0,1,1000,0,0
73,AL,AL0000801,WEST LAWRENCE WATER COOP,Medium,0,0,0,0,0,0,5007,0,1,1000,0,0
74,AL,AL0000805,BEAUREGARD WATER AUTHORITY,Medium,0,0,0,0,0,0,4090,0,1,1000,0,0
75,AL,AL0000814,LOACHAPOKA WATER AUTHORITY,Medium,0,0,0,0,0,0,5080,0,1,1000,0,0
76,AL,AL0000816,The Utilities Board of the City of Opelika,Large,0,0,0,0,3822,0,15297,0,1,1000,0,0
77,AL,AL0000820,SMITHS WATER AND SEWER AUTHORITY,Medium,0,0,0,0,0,0,11130,0,1,1000,0,0
78,AL,AL0000824,CITY OF ATHENS UTILITIES,Medium,0,0,0,0,2181,0,11994,0,1,1000,0,0
79,AL,AL0000833,LIMESTONE COUNTY WATER SYSTEM,Medium,0,0,0,0,0,0,27867,0,1,1000,0,0
80,AL,AL0000878,HARVEST-MONROVIA WATER & SEWER AUTHORITY,Medium,0,0,0,0,3445,0,18700,0,1,1000,0,0
81,AL,AL0000882,HUNTSVILLE UTILITIES,Large,0,0,0,0,31160,0,100905,0,1,1000,0,0
82,AL,AL0000893,City of New Hope Water Department,Medium,0,0,0,0,1966,0,1966,0,1,1000,0,0
83,AL,AL0000897,OWENS CROSSROADS WATER AUTHORITY,Medium,0,0,0,0,3720,0,3720,0,1,1000,0,0
84,AL,AL0000908,DEMOPOLIS WATER WORKS AND SEWER BOARD,Medium,0,0,0,0,471,0,3530,0,1,1000,0,0
85,AL,AL0000924,GUIN WATER & SEWER BOARD,Medium,0,0,0,0,166,0,1476,0,1,1000,0,0
86,AL,AL0000926,HAMILTON WATER AND WASTEWATER DEPARTMENT,Medium,0,0,0,0,194,0,3410,0,1,1000,0,0
87,AL,AL0000930,WINFIELD WATER WORKS & SEWER BOARD,Medium,0,0,0,0,827,0,3112,0,1,1000,0,0
88,AL,AL0000933,Albertville Municipal Utilities Board,Large,0,0,0,0,995,0,10340,0,1,1000,0,0
89,AL,AL0000935,ASBURY WATER SYSTEM INC.,Medium,0,0,0,0,0,0,1270,0,1,1000,0,0
90,AL,AL0000940,Douglas Water and Fire Protection Authority,Medium,0,0,0,0,100,0,6052,0,1,1000,0,0
91,AL,AL0000947,Sardis City Water and Sewer Board,Medium,0,0,0,0,1709,0,1709,0,1,1000,0,0
92,AL,AL0000967,SOUTH ALABAMA UTILITIES WATER SYSTEM,Medium,0,0,0,0,0,21000,21000,0,1,1000,0,0
93,AL,AL0000971,DAUPHIN ISLAND WATER & SEWER,Medium,0,0,0,0,0,0,2221,0,1,1000,0,0
94,AL,AL0000993,KUSHLA WATER DISTRICT,Medium,0,0,0,0,0,0,2208,0,1,1000,0,0
95,AL,AL0001002,MOBILE COUNTY WATER & FIRE PRO AUTHORITY,Medium,0,0,0,0,1208,0,13269,1,1,1001,0,0
96,AL,AL0001004,"MCB WATER AUTHORITY, INC.",Small,0,0,0,0,0,0,212,1,1,1001,0,0
97,AL,AL0001005,Mobile Area Water and Sewer Systems,Large,0,0,0,0,71184,0,104955,1,1,1001,0,0
98,AL,AL0001006,MT. VERNON (TOWN OF),Small,0,0,0,0,685,0,695,1,1,1001,0,0
99,AL,AL0001015,City of Prichard Waterworks and Sewer Board,Medium,0,0,0,0,8223,0,9816,1,1,1001,0,0
100,AL,AL0001021,Saraland Water and Sewer Board,Large,0,0,0,0,3343,0,4588,1,1,1001,0,0
101,AL,AL0001052,MONROEVILLE (WATER WORKS BD. OF CITY OF),Medium,0,0,0,0,874,0,3998,1,1,1001,0,0
102,AL,AL0001070,Montgomery Waterworks & Sanitary Sewer Board,Large,0,0,0,0,5495,0,77242,1,1,1001,0,0
103,AL,AL0001084,DECATUR (MUNICIPAL UTILITIES BOARD OF),Large,0,0,0,0,7007,0,26940,1,1,1001,0,0
104,AL,AL0001092,WEST MORGAN-EAST LAWRENCE WATER AUTHORIT,Medium,0,0,0,0,374,0,10611,1,1,1001,0,0
105,AL,AL0001106,PICKENS COUNTY WATER & F. P. AUTHORITY,Medium,0,0,0,0,0,0,4800,1,1,1001,0,0
106,AL,AL0001124,TROY UTILITIES (CITY OF),Medium,0,0,0,0,5335,0,7332,1,1,1001,0,0
107,AL,AL0001137,FT MITCHELL WATER SYSTEM,Medium,0,0,0,0,143,0,4638,1,1,1001,0,0
108,AL,AL0001145,RUSSELL COUNTY WATER AUTHORITY,Medium,0,0,0,0,0,0,6308,1,1,1001,0,0
109,AL,AL0001148,ALABASTER WATER BOARD,Medium,0,0,0,0,14381,0,14381,1,1,1001,0,0
110,AL,AL0001149,BETHEL WATER SYSTEM,Medium,0,0,0,0,0,0,1393,1,1,1001,0,0
111,AL,AL0001151,COLUMBIANA WATER WORKS,Medium,0,0,0,0,773,0,4000,1,1,1001,0,0
112,AL,AL0001160,MONTEVALLO WATER WORKS & SEWER,Medium,0,0,0,0,755,0,3699,1,1,1001,0,0
113,AL,AL0001163,PELHAM WATER WORKS,Medium,0,0,0,0,211,0,12631,1,1,1001,0,0
114,AL,AL0001176,ASHVILLE WATER AND SEWER,Medium,0,0,0,0,1335,0,1335,1,1,1001,0,0
115,AL,AL0001203,Odenville Utility Board,Medium,0,0,0,0,0,0,8300,1,1,1001,0,0
116,AL,AL0001222,SUMTER COUNTY WATER AUTHORITY,Medium,0,0,0,0,0,0,3461,1,1,1001,0,0
117,AL,AL0001245,City of Lincoln Water Department,Medium,0,0,0,0,575,0,3450,1,1,1001,0,0
118,AL,AL0001261,TALLADEGA-SHELBY WATER TREATMENT PLANT,Medium,0,0,0,0,0,0,2,1,1,1001,0,0
119,AL,AL0001265,ALEXANDER CITY WATER DEPARTMENT,Medium,0,0,0,0,2594,0,10326,1,1,1001,0,0
120,AL,AL0001301,"ENGLEWOOD-HULLS WATER SYSTEM, INC.",Medium,0,0,0,0,0,0,1905,1,1,1001,0,0
121,AL,AL0001307,City of Northport Waterworks,Medium,0,0,0,0,3265,0,14570,1,1,1001,0,0
122,AL,AL0001313,City of Tuscaloosa. Water and Sewer Department,Large,0,0,0,0,19431,0,57463,1,1,1001,0,0
123,AL,AL0001336,JASPER WATER WORKS AND SEWER BOARD,Medium,0,0,0,0,1527,0,10870,1,1,1001,0,0
124,AL,AL0001343,OAKMAN WATER WORKS,Medium,0,0,0,0,0,1180,1180,1,1,1001,0,0
125,AL,AL0001434,COOK SPRINGS WATER AUTHORITY,Medium,0,0,0,0,0,0,1529,1,1,1001,0,0
126,AL,AL0001506,MYRTLEWOOD WATER SYSTEM,Medium,0,0,0,0,0,0,1321,1,1,1001,0,0
127,AL,AL0001507,BUTLER COUNTY WATER AUTHORITY,Medium,0,0,0,0,0,0,4671,1,1,1001,0,0
128,AL,AL0001512,Lowndes County Water Authority,Medium,0,0,0,0,0,0,1250,1,1,1001,0,0
129,AL,AL0001671,SHELBY COUNTY WATER SYSTEM,Large,0,0,0,0,0,0,13177,1,1,1001,0,0
130,AL,AL0001750,WEST AUTAUGA WATER AUTHORITY,Medium,0,0,0,0,0,0,1618,1,1,1001,0,0
131,AL,AL0001780,FIVE STAR WATER SUPPLY DISTRICT,Medium,0,0,0,0,0,0,6,1,1,1001,0,0
132,AL,AL0001783,BLOUNT COUNTY WATER,Medium,0,0,0,0,0,0,5171,1,1,1001,0,0
133,AL,AL0001786,"CULLMAN WATER WORKS, CITY OF",Large,0,0,0,0,12728,0,12728,1,1,1001,0,0
134,AL,AL0001796,DEKALB-JACKSON WATER SUPPLY DISTRICT,Medium,0,0,0,0,0,0,5333,1,1,1001,0,0
135,AL,AL0001808,PLURIS ALABAMA LLC,Medium,0,0,0,0,0,1,1,1,1,1001,0,0
136,AL,AL0001814,GULF STATE PARK INTERPRETIVE CENTER WTS,Small,0,0,0,0,0,0,5,1,1,1001,0,0
137,AR,AR0000004,FORREST CITY WATERWORKS,Medium,0,50,450,2600,800,0,6900,0,5,5000,500,0.072463768
138,AR,AR0000013,STUTTGART WATERWORKS,Medium,0,0,0,0,0,0,30,0,5,5000,0,0
139,AR,AR0000017,CROSSETT WATER COMMISSION,Medium,0,20,0,60,100,0,3680,0,5,5000,20,0.005434783
140,AR,AR0000033,NORTH EAST PUBLIC WATER AUTH,Medium,0,0,0,100,0,0,1919,0,5,5000,0,0
141,AR,AR0000038,BEAVER WATER DISTRICT,Large,0,0,0,0,0,4,4,0,5,5000,0,0
142,AR,AR0000039,BELLA VISTA POA,Medium,0,0,0,0,0,13615,13615,0,5,5000,0,0
143,AR,AR0000041,BENTONVILLE WATER UTILITIES,Medium,0,0,0,0,0,22395,22395,0,5,5000,0,0
144,AR,AR0000044,CENTERTON WATERWORKS,Medium,0,0,0,0,0,0,8500,0,5,5000,0,0
145,AR,AR0000051,GRAVETTE WATERWORKS,Medium,0,60,120,180,300,0,2060,0,5,5000,180,0.087378641
146,AR,AR0000055,ROGERS WATER UTILITIES,Medium,250,250,750,0,0,0,1250,0,5,5000,1250,1
147,AR,AR0000066,WARREN WATERWORKS,Medium,0,25,0,250,0,0,3331,0,5,5000,25,0.007505254
148,AR,AR0000077,GREEN FOREST WATERWORKS,Medium,0,0,0,0,2415,0,2415,0,5,5000,0,0
149,AR,AR0000081,LAKE VILLAGE WATERWORKS,Medium,0,0,0,0,0,1017,1017,0,5,5000,0,0
150,AR,AR0000096,CORNING WATERWORKS,Medium,0,0,0,0,0,1605,1605,0,5,5000,0,0
151,AR,AR0000101,COMMUNITY WATER SYSTEM,Medium,0,0,0,0,0,7043,7043,0,5,5000,0,0
152,AR,AR0000109,MAGNOLIA WATERWORKS,Medium,0,0,0,0,0,5275,5275,0,5,5000,0,0
153,AR,AR0000124,JONESBORO WATER SYSTEM,Medium,0,0,0,0,0,39702,39702,0,5,5000,0,0
154,AR,AR0000138,CEDARVILLE WATERWORKS,Medium,0,0,0,0,0,0,3476,0,5,5000,0,0
155,AR,AR0000144,ALMA WATERWORKS,Medium,0,0,0,0,43,0,2443,0,5,5000,0,0
156,AR,AR0000152,MARION WATERWORKS,Medium,0,0,0,0,0,5357,5357,0,5,5000,0,0
157,AR,AR0000163,WYNNE WATERWORKS,Medium,0,0,0,0,0,3504,3504,0,5,5000,0,0
158,AR,AR0000170,MC GEHEE WATERWORKS,Medium,0,0,0,0,0,2084,2084,0,5,5000,0,0
159,AR,AR0000171,DUMAS WATERWORKS,Medium,0,0,0,0,0,2629,2629,0,5,5000,0,0
160,AR,AR0000184,MONTICELLO WATER DEPARTMENT,Medium,0,0,0,0,0,4329,4329,0,5,5000,0,0
161,AR,AR0000189,CONWAY WATER SYSTEM,Medium,27143,0,0,0,0,0,27143,0,5,5000,27143,1
162,AR,AR0000195,VILONIA WATERWORKS,Medium,0,0,0,0,0,0,9200,0,5,5000,0,0
163,AR,AR0000201,OZARK WATERWORKS,Medium,0,0,0,0,1667,0,1727,0,5,5000,0,0
164,AR,AR0000208,HOT SPRINGS VILLAGE WATERWORKS,Medium,0,0,0,175,0,0,6250,0,5,5000,0,0
165,AR,AR0000209,HOT SPRINGS UTILITIES,Medium,0,0,0,0,3796,0,37958,0,5,5000,0,0
166,AR,AR0000222,PARAGOULD LIGHT WATER & CABLE,Medium,0,0,300,500,500,0,10300,0,5,5000,300,0.029126214
167,AR,AR0000230,HOPE WATER LIGHT COMM,Medium,0,0,0,0,4432,0,4432,0,5,5000,0,0
168,AR,AR0000237,MALVERN WATERWORKS,Medium,425,0,0,0,0,0,4255,0,5,5000,425,0.099882491
169,AR,AR0000250,BATESVILLE WATER UTILITIES,Medium,0,200,0,1000,2500,0,5700,0,5,5000,200,0.035087719
170,AR,AR0000264,NEWPORT WATERWORKS,Medium,0,0,0,0,0,3287,3287,0,5,5000,0,0
171,AR,AR0000272,LIBERTY UTILITIES,Medium,0,0,0,0,0,17351,17351,0,5,5000,0,0
172,AR,AR0000273,HARDIN WATER ASSOCIATION,Medium,0,0,0,0,0,1940,1940,0,5,5000,0,0
173,AR,AR0000300,IMBODEN WATERWORKS,Small,0,0,0,0,0,0,337,0,5,5000,0,0
174,AR,AR0000301,HOXIE WATER DEPARTMENT,Small,0,0,0,0,1174,0,1174,0,5,5000,0,0
175,AR,AR0000306,RAVENDEN WATERWORKS,Small,0,0,0,0,0,0,233,0,5,5000,0,0
176,AR,AR0000309,WALNUT RIDGE WATERWORKS,Medium,3500,0,0,3500,0,0,10500,0,5,5000,3500,0.333333333
177,AR,AR0000319,YORKTOWN WATER ASSOCIATION,Medium,0,0,0,0,0,0,3150,0,5,5000,0,0
178,AR,AR0000345,WARD WATERWORKS,Medium,0,0,0,0,0,0,4779,0,5,5000,0,0
179,AR,AR0000349,MADISON CO WATER FACILITIES BD,Medium,0,0,0,0,0,3877,3877,0,5,5000,0,0
