,Primacy Agency,PWSID,PWS Name,Reported System Size,Service Lines,1. Service lines that contain any lead pipe,2. Service lines that do not contain any lead pipe but have lead connectors,3a. Service lines that contain galvanized pipe and were previously downstream from a lead source,3b. Service lines that contain galvanized pipe that have never been downstream from any lead source,4a. Service lines that do not contain any lead pipe or galvanized pipe and that do not have lead connectors,4b. Service lines for which the material makeup of the service line and of the connector are not known,Not reported,Total,COUNTY_FIPS,STATE_FIPS,FIPS
0,AK,AK2110342,CITY AND BOROUGH OF JUNEAU,Medium,9705,0,0.0,0,0,0.0,9705,0,9705,110,02,02110
1,AK,AK2110601,SKAGWAY,Medium,375,0,0.0,0,0,0.0,0,375,375,110,02,02110
2,AK,AK2120232,KETCHIKAN PUBLIC UTILITIES,Medium,3242,0,0.0,0,0,0.0,0,3242,3242,120,02,02120
3,AK,AK2130075,SITKA,Medium,3620,0,0.0,0,0,0.0,0,3620,3620,130,02,02130
4,AK,AK2210320,FOUR SEASONS TC,Small,120,0,0.0,0,0,0.0,120,0,120,210,02,02210
5,AK,AK2210605,VALLI VUE S/D WATER SYSTEM,Small,227,0,0.0,0,0,227.0,0,0,227,210,02,02210
6,AK,AK2210906,MOA MUNICIPALITY OF ANCHORAGE,Large,227,0,0.0,0,113,0.0,0,0,113,210,02,02210
7,AK,AK2211229,United Alaskan Utilities Moorehand Division,Small,109,0,0.0,0,0,0.0,109,0,109,211,02,02211
8,AK,AK2212021,GIRDWOOD WATER SYSTEM,Small,671,0,0.0,0,0,0.0,671,0,671,212,02,02212
9,AK,AK2212039,DOYON UTILITIES JBER - RICHARDSON,Medium,723,0,0.0,0,0,0.0,0,723,723,212,02,02212
10,AK,AK2213239,BEAR MOUNTAIN CONDO ASSN.,Small,2,0,0.0,0,0,0.0,2,0,2,213,02,02213
11,AK,AK2213530,PETERS CREEK TERRACE APTS.,Small,1,0,0.0,0,0,0.0,1,0,1,213,02,02213
12,AK,AK2223420,AMERICAN LEGION POST 35,Small,1,0,0.0,0,0,0.0,1,0,1,223,02,02223
13,AK,AK2224646,WASILLA WATER SYSTEM,Medium,2079,0,0.0,0,0,0.0,0,2079,2079,224,02,02224
14,AK,AK2226020,PALMER WATER SYSTEM,Medium,2273,0,0.0,0,0,0.0,0,2273,2273,226,02,02226
15,AK,AK2240448,KENAI WATER SYSTEM,Medium,1868,0,0.0,0,0,0.0,0,1868,1868,240,02,02240
16,AK,AK2240456,HOMER WATER SYSTEM,Medium,1500,0,0.0,0,0,0.0,0,1500,1500,240,02,02240
17,AK,AK2241054,SOLDOTNA,Medium,1500,0,0.0,0,0,0.0,0,1500,1500,241,02,02241
18,AK,AK2245846,SOLDOTNA SWIFT WATER #4,Small,4,0,0.0,0,0,4.0,0,0,4,245,02,02245
