FIPS Code,State,Area name,"Percent of adults with less than a high school diploma, 2018-22","Percent of adults with a high school diploma only, 2018-22","Percent of adults completing some college or associate's degree, 2018-22","Percent of adults with a bachelor's degree or higher, 2018-22"
00000,US,United States,10.9,26.4,28.5,34.3
01000,AL,Alabama,12.3,30.4,30.1,27.2
01001,AL,Autauga County,9.6,31.1,29.7,29.6
01003,AL,Baldwin County,8.4,27.8,31.3,32.6
01005,AL,Barbour County,23.5,36.8,27.8,11.9
01007,AL,Bibb County,21.1,40.9,27.1,10.9
01009,AL,Blount County,18.2,35.3,31.7,14.7
01011,AL,Bullock County,26.6,41.3,22.7,9.4
01013,AL,Butler County,12.4,48.0,26.6,13.0
01015,AL,Calhoun County,14.9,34.6,31.4,19.2
01017,AL,Chambers County,16.5,39.5,31.2,12.7
01019,AL,Cherokee County,18.1,36.1,31.3,14.6
01021,AL,Chilton County,17.8,41.6,26.6,14.0
01023,AL,Choctaw County,17.6,38.2,31.1,13.0
01025,AL,Clarke County,18.6,41.0,26.6,13.8
01027,AL,Clay County,16.7,37.4,33.2,12.8
01029,AL,Cleburne County,17.5,39.0,27.1,16.5
01031,AL,Coffee County,13.4,28.9,36.1,21.6
01033,AL,Colbert County,13.6,36.6,31.7,18.0
01035,AL,Conecuh County,10.6,48.3,27.8,13.3
01037,AL,Coosa County,16.5,41.4,31.4,10.6
01039,AL,Covington County,14.2,36.3,33.2,16.3
01041,AL,Crenshaw County,17.9,42.5,22.4,17.2
01043,AL,Cullman County,15.4,31.4,34.9,18.3
01045,AL,Dale County,14.3,31.3,35.2,19.2
01047,AL,Dallas County,14.7,39.7,30.0,15.7
01049,AL,DeKalb County,22.3,31.8,31.8,14.1
01051,AL,Elmore County,11.5,33.8,30.6,24.2
01053,AL,Escambia County,17.7,44.4,25.4,12.6
01055,AL,Etowah County,13.9,33.4,35.0,17.7
01057,AL,Fayette County,16.3,39.8,30.9,13.0
01059,AL,Franklin County,19.9,40.1,25.1,14.8
01061,AL,Geneva County,16.6,36.7,32.8,13.9
01063,AL,Greene County,18.1,37.1,28.0,16.7
01065,AL,Hale County,19.4,37.8,26.4,16.4
01067,AL,Henry County,18.5,32.8,27.8,21.0
01069,AL,Houston County,12.4,32.0,33.2,22.5
01071,AL,Jackson County,18.0,37.4,28.5,16.2
01073,AL,Jefferson County,8.9,26.1,29.4,35.6
01075,AL,Lamar County,17.9,40.9,31.0,10.2
01077,AL,Lauderdale County,11.2,34.9,28.1,25.8
01079,AL,Lawrence County,17.3,41.1,25.7,15.8
01081,AL,Lee County,8.3,21.7,29.8,40.2
01083,AL,Limestone County,12.7,27.8,30.0,29.5
01085,AL,Lowndes County,16.7,41.6,25.4,16.3
01087,AL,Macon County,17.3,31.7,30.5,20.6
01089,AL,Madison County,7.8,19.0,28.1,45.1
01091,AL,Marengo County,10.9,35.6,31.5,22.0
01093,AL,Marion County,19.4,35.5,33.3,11.8
01095,AL,Marshall County,15.6,31.9,31.0,21.4
01097,AL,Mobile County,11.9,34.1,29.8,24.2
01099,AL,Monroe County,16.3,44.0,26.2,13.5
01101,AL,Montgomery County,12.0,25.6,28.7,33.7
01103,AL,Morgan County,14.8,30.8,30.6,23.8
01105,AL,Perry County,20.4,42.9,21.5,15.2
01107,AL,Pickens County,15.1,41.1,29.3,14.5
01109,AL,Pike County,12.1,36.2,24.0,27.7
01111,AL,Randolph County,18.0,34.9,28.4,18.8
01113,AL,Russell County,14.8,29.6,39.2,16.4
01115,AL,St. Clair County,12.7,35.5,32.4,19.3
01117,AL,Shelby County,6.2,20.2,28.0,45.6
01119,AL,Sumter County,11.2,32.2,34.8,21.8
01121,AL,Talladega County,16.8,34.9,31.7,16.6
01123,AL,Tallapoosa County,18.1,32.1,31.6,18.2
01125,AL,Tuscaloosa County,9.4,29.4,30.4,30.9
01127,AL,Walker County,17.3,34.8,32.5,15.3
01129,AL,Washington County,11.7,43.8,30.2,14.2
01131,AL,Wilcox County,22.3,40.4,25.7,11.6
01133,AL,Winston County,20.0,40.4,25.9,13.8
02000,AK,Alaska,6.5,28.8,33.9,30.7
02010,AK,Aleutian Islands,,,,
02013,AK,Aleutians East Borough,19.0,39.4,24.7,16.9
02016,AK,Aleutians West Census Area,10.5,41.3,32.8,15.4
02020,AK,Anchorage Municipality,5.8,24.5,32.6,37.0
02050,AK,Bethel Census Area,17.3,47.9,25.2,9.7
02060,AK,Bristol Bay Borough,5.0,28.3,40.4,26.3
02063,AK,"Chugach Census Area, Alaska",5.5,23.8,39.3,31.5
02066,AK,"Copper River Census Area, Alaska",7.6,29.1,35.2,28.1
02068,AK,Denali Borough,3.3,46.8,24.7,25.1
02070,AK,Dillingham Census Area,11.9,41.6,26.1,20.5
02090,AK,Fairbanks North Star Borough,5.3,25.3,36.4,32.9
02100,AK,Haines Borough,2.3,34.4,29.6,33.7
02105,AK,Hoonah-Angoon Census Area,6.0,33.6,32.9,27.5
02110,AK,Juneau City and Borough,4.6,22.1,32.6,40.7
02122,AK,Kenai Peninsula Borough,5.8,30.8,35.4,28.0
02130,AK,Ketchikan Gateway Borough,5.3,28.5,37.7,28.5
02150,AK,Kodiak Island Borough,8.8,29.0,33.7,28.5
02158,AK,Kusilvak Census Area,18.6,55.7,21.2,4.6
02160,AK,Kuskokwim Division,,,,
02164,AK,Lake and Peninsula Borough,9.2,45.0,30.3,15.5
02170,AK,Matanuska-Susitna Borough,5.8,33.2,37.4,23.7
02180,AK,Nome Census Area,11.8,43.4,26.5,18.3
02185,AK,North Slope Borough,9.3,43.0,33.4,14.2
02188,AK,Northwest Arctic Borough,13.9,46.2,24.7,15.2
02195,AK,Petersburg Census Area,13.0,31.8,30.4,24.8
02198,AK,Prince of Wales-Hyder Census Area,7.5,36.4,36.7,19.4
02201,AK,Prince of Wales-Outer Ketchikan Census Area,,,,
02220,AK,Sitka City and Borough,4.8,25.8,35.3,34.2
02230,AK,Skagway Municipality,7.3,34.0,30.8,27.8
02231,AK,Skagway-Yakutat-Angoon Census Area,,,,
02232,AK,Skagway-Hoonah-Angoon Census Area,,,,
02240,AK,Southeast Fairbanks Census Area,6.3,36.6,37.3,19.8
02250,AK,Upper Yukon Division,,,,
02261,AK,Valdez-Cordova Census Area,,,,
02275,AK,Wrangell City and Borough,12.9,33.4,35.7,18.0
02280,AK,Wrangell-Petersburg Census Area,,,,
02282,AK,Yakutat City and Borough,6.0,43.6,39.5,10.8
02290,AK,Yukon-Koyukuk Census Area,13.0,38.9,34.0,14.1
04000,AZ,Arizona,11.3,23.6,33.3,31.8
04001,AZ,Apache County,16.0,32.5,37.8,13.8
04003,AZ,Cochise County,11.1,25.1,37.1,26.7
04005,AZ,Coconino County,8.5,21.0,30.8,39.6
04007,AZ,Gila County,12.9,30.6,38.5,18.1
04009,AZ,Graham County,15.4,30.4,40.3,14.0
04011,AZ,Greenlee County,14.1,32.4,36.9,16.7
04012,AZ,La Paz County,17.4,32.8,37.4,12.4
