Name,Address,City,Long,Lat,FACILITY_T,SHELTER_TY,Year_Built,Building,Risk_Capac,Risk_Squar
Easton-Newberry Sports Complex,24880 NW 16th Ave,Newberry,-82.60425502,29.66906401,SHELTER,RISK,2008,1 Main,593,11860
University of Florida,3150 Hull Rd,Gainesville,-82.36826304,29.63818101,SHELTER,RISK,2007,110 Steinbrenner Hall 1st Floor,163,3261
Meadowbrook ES,11525 NW 39th Ave,Gainesville,-82.46277603,29.68814902,SHELTER,RISK,2011,1 Media / Classroom,900,18000
Sidney Lanier Center,312 NW 16th Ave,Gainesville,-82.32800802,29.66689901,SHELTER,RISK,2001,11 Classroom,552,11040
Lawton M Chiles ES,2525 School House Rd,Gainesville,-82.44516599,29.62869098,SHELTER,RISK,1999,3 Cafeteria,266,5320
William S Talbot ES,5701 NW 43rd St,Gainesville,-82.38745399,29.70747701,SHELTER,RISK,1984,3 Cafeteria,189,3789
Lawton M Chiles ES,2525 School House Rd,Gainesville,-82.44516599,29.62869098,SHELTER,RISK,1999,2 Classroom,589,11780
Oakview MS,1203 SW 250th St,Newberry,-82.60579703,29.640998,SHELTER,RISK,1993,4 Classroom,457,9148
Waldo Community School,13588 NE 148th Ave,Waldo,-82.17813032,29.79119606,SHELTER,RISK,2000,6 Classroom,278,5567
MLK Center,1028 NE 14th St,Gainesville,-82.30778501,29.661189,SHELTER,RISK,1996,1 Gymnasium / Multipurpose,400,8000
Joseph Williams ES,1245 SE 7th Ave,Gainesville,-82.30905,29.64561002,SHELTER,RISK,1999,7 Cafeteria,210,4196
University of Florida,3150 Hull Road,Gainesville,-82.36826304,29.63818101,SHELTER,RISK,2011,484 Straughn IFAS Extension 1st Floor,118,2360
Alachua County Community Support Services,218 SE 24th St,Gainesville,-82.295128,29.64887498,SHELTER,RISK,2001,1 Main,94,5640
Archer Community School,14533 SW 170 St,Archer,-82.523042,29.52002501,SHELTER,RISK,2000,6 Cafeteria,211,4221
Sidney Lanier Center,312 NW 16th Ave,Gainesville,-82.32800802,29.66689901,SHELTER,RISK,2001,12 Gym,408,8166
University of Florida,3150 Hull Road,Gainesville,-82.36826304,29.63818101,SHELTER,RISK,1997,316 SW Rec Center,1837,36737
Eastside HS,1201 SE 43rd St,Gainesville,-82.26966897,29.63981599,SHELTER,RISK,2002,15 Classroom,842,16834
Kanapaha MS,5005 SW 75th St,Gainesville,-82.42086602,29.607684,SHELTER,RISK,1995,4 Classroom,450,8995
Santa Fe HS,16213 NW US HWY 441,Alachua,-82.52386401,29.80616102,SHELTER,RISK,2008,34 Classroom,546,10919
Lawton M Chiles ES,2525 School House Rd,Gainesville,-82.44516599,29.62869098,SHELTER,RISK,1999,1 Admin / Classroom,666,13320
Kanapaha MS,5005 SW 75th St,Gainesville,-82.42086602,29.607684,SHELTER,RISK,1995,3 Classroom,467,9332
Chester Shell ES,21633 SE 65th Ave,Hawthorne,-82.09070503,29.594143,SHELTER,RISK,2005,2 Cafeteria,184,3681
University of Florida,686 Museum Rd,Gainesville,-82.34848194,29.64494386,SHELTER,RISK,1995,686 Reitz Union,699,13971
High Springs Community School,1015 N Main St,High Springs,-82.59185006,29.83557492,SHELTER,RISK,2003,5 Classroom Addition (2003),296,5920
Oakview MS,1203 SW 250th St,Newberry,-82.60579703,29.640998,SHELTER,RISK,1993,3 Classroom,447,8935
