NAME,STATE_NAME,FIPS,POPULATION
Aleutians East,Alaska,02013,3129
Traill,North Dakota,38097,8154
Walsh,North Dakota,38099,11037
Aleutians West,Alaska,02016,5609
Ward,North Dakota,38101,75147
Anchorage,Alaska,02020,303152
Wells,North Dakota,38103,4218
Bethel,Alaska,02050,17646
Williams,North Dakota,38105,40962
Baker,Oregon,41001,16332
Morrow,Oregon,41049,11766
Umatilla,Oregon,41059,77951
Union,Oregon,41061,26421
Wallowa,Oregon,41063,7202
Brown,South Dakota,46013,39737
Butte,South Dakota,46019,10342
Campbell,South Dakota,46021,1443
Clark,South Dakota,46025,3743
Codington,South Dakota,46029,28572
Corson,South Dakota,46031,4269
Day,South Dakota,46037,5618
Deuel,South Dakota,46039,4345
Dewey,South Dakota,46041,5559
Edmunds,South Dakota,46045,4042
Faulk,South Dakota,46049,2336
Grant,South Dakota,46051,7237
Hamlin,South Dakota,46057,6196
Harding,South Dakota,46063,1265
McPherson,South Dakota,46089,2392
Marshall,South Dakota,46091,4862
Perkins,South Dakota,46105,3003
Potter,South Dakota,46107,2317
Roberts,South Dakota,46109,10466
Spink,South Dakota,46115,6587
Sully,South Dakota,46119,1408
Walworth,South Dakota,46129,5398
Ziebach,South Dakota,46137,2924
Adams,Washington,53001,19938
Asotin,Washington,53003,22061
Benton,Washington,53005,195297
Columbia,Washington,53013,4112
Douglas,Washington,53017,41420
Ferry,Washington,53019,7484
Franklin,Washington,53021,88038
Garfield,Washington,53023,2268
Grant,Washington,53025,93179
Lincoln,Washington,53043,10735
Pend Oreille,Washington,53051,13352
Spokane,Washington,53063,503651
Stevens,Washington,53065,44381
Walla Walla,Washington,53071,61726
Whitman,Washington,53075,49184
Sheridan,Wyoming,56033,30650
Baldwin,Alabama,01003,209227
Barbour,Alabama,01005,27072
Bullock,Alabama,01011,10811
Butler,Alabama,01013,20621
Choctaw,Alabama,01023,13369
Clarke,Alabama,01025,25085
Coffee,Alabama,01031,52079
Conecuh,Alabama,01035,12742
Covington,Alabama,01039,38108
Crenshaw,Alabama,01041,14145
Dale,Alabama,01045,50346
Escambia,Alabama,01053,38596
Geneva,Alabama,01061,27108
Henry,Alabama,01067,17565
Houston,Alabama,01069,106275
Mobile,Alabama,01097,423262
Monroe,Alabama,01099,22089
Pike,Alabama,01109,33474
Washington,Alabama,01129,17620
Wilcox,Alabama,01131,11298
Alachua,Florida,12001,262216
Baker,Florida,12003,28042
Bay,Florida,12005,180035
Bradford,Florida,12007,26996
Brevard,Florida,12009,578927
Calhoun,Florida,12013,14630
Charlotte,Florida,12015,173978
Citrus,Florida,12017,144825
Clay,Florida,12019,209524
Collier,Florida,12021,368652
Columbia,Florida,12023,69419
DeSoto,Florida,12027,36506
Dixie,Florida,12029,16299
Duval,Florida,12031,932755
Escambia,Florida,12033,317676
Flagler,Florida,12035,108166
Franklin,Florida,12037,11622
Gadsden,Florida,12039,47015
Gilchrist,Florida,12041,17436
Glades,Florida,12043,13588
Gulf,Florida,12045,16377
Hamilton,Florida,12047,14344
Hardee,Florida,12049,28518
Hendry,Florida,12051,39553
Hernando,Florida,12053,182273
Highlands,Florida,12055,102012
Hillsborough,Florida,12057,1382695
Holmes,Florida,12059,19865
Indian River,Florida,12061,149718
Jackson,Florida,12063,50086
Jefferson,Florida,12065,14547
Lafayette,Florida,12067,8476
Lake,Florida,12069,339742
Lee,Florida,12071,720426
Leon,Florida,12073,288630
Levy,Florida,12075,41097
Liberty,Florida,12077,8737
Madison,Florida,12079,18862
Manatee,Florida,12081,376566
Marion,Florida,12083,350915
Monroe,Florida,12087,77537
Nassau,Florida,12089,80628
Okaloosa,Florida,12091,198210
Okeechobee,Florida,12093,39837
Orange,Florida,12095,1332714
Osceola,Florida,12097,333980
Pasco,Florida,12101,512082
Pinellas,Florida,12103,968279
Polk,Florida,12105,662431
Putnam,Florida,12107,74098
St. Johns,Florida,12109,238439
